candidate_id,species,chromosome,start,end,shin_label,fuzzy_score,balanced_prediction,moderate_prediction,strict_prediction,rank_fuzzy,hunter_weighted_hit_fraction,rank_hunter_weighted,rank_shift_vs_hunter_weighted,hunter_max_overlap_pct,rank_hunter_overlap,rank_shift_vs_hunter_overlap,hunter_max_raw_score,tss_distance_bp,grid_hit_m2_l6_t30,grid_overlap_pct_m2_l6_t30,grid_hit_m2_l10_t60,grid_overlap_pct_m2_l10_t60,component_signal,component_context,component_evidence,component_bias,component_feasibility,top_rules
SHIN_REAL_NEGATIVE_ZFS_0,Homo_sapiens_shin2016,chr17,19351955,19352338,negative,18.6198,0,0,0,328,0.394489,199,-129,1.8229,297,-31,66.6667,25421,1,1.8229,0,0.0000,37.2954,40.8899,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.907
SHIN_REAL_NEGATIVE_ZFS_1,Homo_sapiens_shin2016,chr1,58520415,58520798,negative,18.0563,0,0,0,364,0.394489,200,-164,1.5625,338,-26,45.0000,31652,1,1.5625,0,0.0000,36.171,27.2599,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.988
SHIN_REAL_NEGATIVE_ZFS_10,Homo_sapiens_shin2016,chr1,144108052,144108060,negative,18.5849,0,0,0,331,0.394489,201,-130,2.0833,255,-76,53.5714,16568,1,2.0833,0,0.0000,36.6158,48.3844,51.7695,73.9655,92.0795,AF9:1.000;AF12:0.956
SHIN_REAL_NEGATIVE_ZFS_11,Homo_sapiens_shin2016,chr4,106849112,106849495,negative,18.8089,0,0,0,311,0.394489,202,-109,1.5625,339,28,55.0000,0,1,1.5625,0,0.0000,36.6899,90.7109,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.951
SHIN_REAL_NEGATIVE_ZFS_12,Homo_sapiens_shin2016,chr21,43670956,43670966,negative,62.8860,1,1,1,60,1.000000,1,-59,3.8462,170,110,94.4444,470,1,3.8462,1,3.8462,82.1196,83.1465,72.1517,50.3974,94.512,AF4:0.846
SHIN_REAL_NEGATIVE_ZFS_13,Homo_sapiens_shin2016,chr2,112749287,112749670,negative,19.5321,1,1,0,233,0.394489,203,-30,1.5625,340,107,90.0000,0,1,1.5625,0,0.0000,38.5062,90.7109,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.821
SHIN_REAL_NEGATIVE_ZFS_14,Homo_sapiens_shin2016,chr1,71460924,71460932,negative,18.3356,0,0,0,350,0.394489,204,-146,2.0833,256,-94,50.0000,141591,1,2.0833,0,0.0000,36.4466,27.2599,51.7695,73.9655,92.0795,AF9:1.000;AF12:0.968
SHIN_REAL_NEGATIVE_ZFS_15,Homo_sapiens_shin2016,chr12,123965118,123965501,negative,19.5321,1,1,0,234,0.394489,205,-29,1.5625,341,107,90.0000,29,1,1.5625,0,0.0000,38.5062,90.7109,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.821
SHIN_REAL_NEGATIVE_ZFS_16,Homo_sapiens_shin2016,chr1,144110429,144110812,negative,17.9623,0,0,0,369,0.394489,206,-163,1.5625,342,-27,30.0000,13816,1,1.5625,0,0.0000,35.3926,50.5711,51.7695,74.3813,92.0375,AF9:1.000;AF12:1.000
SHIN_REAL_NEGATIVE_ZFS_17,Homo_sapiens_shin2016,chr5,40870984,40871367,negative,-1.0000,0,0,0,376,0.000000,376,0,0.0000,376,0,0.0000,0,0,0.0000,0,0.0000,0.3633,90.7109,3.6765,71.5895,92.0375,
